library	flavor	mode	capacity	producers	consumers	api	batch_support	items	median_melem_s	min_melem_s	max_melem_s	stage
fibre	spsc	sync	rendezvous	1	1	single	none	25735	0.561	0.531	0.617	stream
flume	spsc	sync	rendezvous	1	1	single	receive only	27380	0.451	0.437	0.474	stream
kanal	spsc	sync	rendezvous	1	1	single	none	444344	7.155	7.011	8.299	stream
crossbeam	spsc	sync	rendezvous	1	1	single	none	33580	0.516	0.507	0.558	stream
std	spsc	sync	rendezvous	1	1	single	none	33294	0.509	0.497	0.588	stream
fibre	spsc	sync	1	1	1	single	send and receive	15382	0.263	0.244	0.280	stream
flume	spsc	sync	1	1	1	single	receive only	40976	0.675	0.644	0.691	stream
kanal	spsc	sync	1	1	1	single	none	587070	8.569	6.636	9.438	stream
crossbeam	spsc	sync	1	1	1	single	none	494287	7.901	5.940	8.294	stream
std	spsc	sync	1	1	1	single	none	15602	0.281	0.257	0.289	stream
fibre	spsc	sync	128	1	1	single	send and receive	1745148	30.044	28.801	32.547	stream
flume	spsc	sync	128	1	1	single	receive only	1831730	30.088	27.999	31.333	stream
kanal	spsc	sync	128	1	1	single	none	1601771	25.884	24.725	27.350	stream
crossbeam	spsc	sync	128	1	1	single	none	3031194	46.928	43.740	52.231	stream
std	spsc	sync	128	1	1	single	none	2490456	53.087	38.705	57.635	stream
fibre	spsc	sync	128	1	1	batch-512	send and receive	1469229	24.493	24.129	24.720	stream
flume	spsc	sync	128	1	1	batch-512	receive only	1174829	19.895	19.627	20.143	stream
fibre	spsc	sync	1024	1	1	single	send and receive	2655567	46.558	44.424	50.521	stream
flume	spsc	sync	1024	1	1	single	receive only	359885	6.226	5.997	6.938	stream
kanal	spsc	sync	1024	1	1	single	none	3071417	51.767	44.422	56.833	stream
crossbeam	spsc	sync	1024	1	1	single	none	4673448	74.640	67.831	77.418	stream
std	spsc	sync	1024	1	1	single	none	7156189	118.384	112.871	125.453	stream
fibre	spsc	sync	1024	1	1	batch-512	send and receive	8000000	470.363	448.368	475.796	stream
flume	spsc	sync	1024	1	1	batch-512	receive only	4425287	77.053	70.877	77.611	stream
flume	spsc	sync	unbounded	1	1	single	receive only	432950	6.594	5.931	9.762	stream
kanal	spsc	sync	unbounded	1	1	single	none	1000000	145.219	90.376	181.645	stream
crossbeam	spsc	sync	unbounded	1	1	single	none	1000000	144.065	138.574	146.632	stream
std	spsc	sync	unbounded	1	1	single	none	1000000	138.521	131.449	143.678	stream
